无间道,9.0,犯罪,香港,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg
上海滩,9.0,犯罪,香港,https://movie.douban.com/subject/6311260/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2344833803.jpg
牡丹亭,9.4,爱情,大陆,https://movie.douban.com/subject/4731050/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2365538258.jpg
狐妖小红娘剧场版：月红篇,9.2,爱情,大陆,https://movie.douban.com/subject/26972694/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2427045524.jpg
陆游与唐琬,9.3,爱情,大陆,https://movie.douban.com/subject/10877448/,https://img3.doubanio.com/lpic/s10480612.jpg
狐妖小红娘剧场版：王权富贵,9.2,爱情,大陆,https://movie.douban.com/subject/26946612/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.jpg
红楼梦,9.1,爱情,大陆,https://movie.douban.com/subject/1329969/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322451692.jpg
花为媒,9.1,爱情,大陆,https://movie.douban.com/subject/2357317/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173058450.jpg
金花路5号,9.1,爱情,大陆,https://movie.douban.com/subject/2282452/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1961367162.jpg
芙蓉镇,9.0,爱情,大陆,https://movie.douban.com/subject/1297880/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184544013.jpg
绝不松开我的拳头,9.0,爱情,大陆,https://movie.douban.com/subject/26199883/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2207905589.jpg
小捣蛋,9.7,喜剧,美国,https://movie.douban.com/subject/4714058/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2217061102.jpg
威尔和格蕾丝 告别秀,9.6,喜剧,美国,https://movie.douban.com/subject/2263259/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2408281629.jpg
演员工作室：老爸老妈的浪漫史,9.5,喜剧,美国,https://movie.douban.com/subject/25855990/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2176444996.jpg
Wattstax,9.6,喜剧,美国,https://movie.douban.com/subject/1975692/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2374623518.jpg
绿日乐队：圣经上的子弹演唱会,9.5,喜剧,美国,https://movie.douban.com/subject/2052209/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2510821205.jpg
怪诞小镇特别篇：松林之间,9.5,喜剧,美国,https://movie.douban.com/subject/26744258/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2324315416.jpg
